"week_ending_date","nhs_board_cypher","nhs_board_name","location_code","location_name","attendance","number_over_4_hours","percentage_within_4_hours","number_over_8_hours","percentage_within_8_hours","number_over_12_hours","percentage_within_12_hours"
2022-05-08,"M","NHSScotland","M","NHSScotland",26251,7978,69.6,2158,91.8,671,97.4
2022-05-15,"M","NHSScotland","M","NHSScotland",27023,8066,70.2,2110,92.2,656,97.6
2022-05-22,"M","NHSScotland","M","NHSScotland",27129,8080,70.2,2008,92.6,671,97.5
2022-05-29,"M","NHSScotland","M","NHSScotland",26986,8203,69.6,2343,91.3,846,96.9
2022-06-05,"M","NHSScotland","M","NHSScotland",27872,8476,69.6,2073,92.6,622,97.8
2022-06-12,"M","NHSScotland","M","NHSScotland",27064,8310,69.3,2259,91.7,783,97.1
2022-06-19,"M","NHSScotland","M","NHSScotland",26897,8585,68.1,2280,91.5,807,97
2022-06-26,"M","NHSScotland","M","NHSScotland",27665,9003,67.5,2580,90.7,954,96.6
2022-07-03,"M","NHSScotland","M","NHSScotland",25942,9126,64.8,3124,88,1190,95.4
2022-07-10,"M","NHSScotland","M","NHSScotland",24634,8202,66.7,2593,89.5,935,96.2
2022-07-17,"M","NHSScotland","M","NHSScotland",25092,8071,67.8,2457,90.2,942,96.2
2022-07-24,"M","NHSScotland","M","NHSScotland",25644,8972,65,2826,89,1089,95.8
2022-07-31,"M","NHSScotland","M","NHSScotland",24717,8330,66.3,2558,89.7,1058,95.7
2022-08-07,"M","NHSScotland","M","NHSScotland",24919,8057,67.7,2438,90.2,969,96.1
2022-08-14,"M","NHSScotland","M","NHSScotland",26247,9172,65.1,2912,88.9,1016,96.1
2022-08-21,"M","NHSScotland","M","NHSScotland",26081,9154,64.9,3223,87.6,1341,94.9
2022-08-28,"M","NHSScotland","M","NHSScotland",26598,9034,66,2807,89.4,1091,95.9
2022-09-04,"M","NHSScotland","M","NHSScotland",27037,8744,67.7,2682,90.1,1004,96.3
2022-09-11,"M","NHSScotland","M","NHSScotland",27233,9921,63.6,3399,87.5,1283,95.3
2022-09-18,"M","NHSScotland","M","NHSScotland",26442,8953,66.1,2731,89.7,1032,96.1
2022-09-25,"M","NHSScotland","M","NHSScotland",25925,8738,66.3,2882,88.9,1056,95.9
2022-10-02,"M","NHSScotland","M","NHSScotland",26083,9310,64.3,3460,86.7,1539,94.1
2022-10-09,"M","NHSScotland","M","NHSScotland",25743,9230,64.1,3610,86,1557,94
2022-10-16,"M","NHSScotland","M","NHSScotland",24900,8670,65.2,3099,87.6,1396,94.4
2022-10-23,"M","NHSScotland","M","NHSScotland",24246,8496,65,3104,87.2,1421,94.1
2022-10-30,"M","NHSScotland","M","NHSScotland",26100,9648,63,3439,86.8,1492,94.3
2022-11-06,"M","NHSScotland","M","NHSScotland",25135,8755,65.2,3032,87.9,1360,94.6
2022-11-13,"M","NHSScotland","M","NHSScotland",26348,9130,65.3,2958,88.8,1080,95.9
2022-11-20,"M","NHSScotland","M","NHSScotland",25472,9386,63.2,3021,88.1,1070,95.8
2022-11-27,"M","NHSScotland","M","NHSScotland",25043,9562,61.8,3407,86.4,1268,94.9
2022-12-04,"M","NHSScotland","M","NHSScotland",25496,9358,63.3,3092,87.9,1319,94.8
2022-12-11,"M","NHSScotland","M","NHSScotland",26118,9774,62.6,3045,88.3,1150,95.6
2022-12-18,"M","NHSScotland","M","NHSScotland",26532,11905,55.1,4537,82.9,1821,93.1
2022-12-25,"M","NHSScotland","M","NHSScotland",25062,10654,57.5,4543,81.9,2183,91.3
2023-01-01,"M","NHSScotland","M","NHSScotland",24685,10866,56,4977,79.8,2506,89.8
